#,章項節,質問,回答
1,,既存の業態一覧の画面などもデザインモックにあわせて修正しますか？,
2,,従業員登録で重複の際はエラーになりますが、複数の企業に紐づけられる仕様なのでメアドの重複チェックだけで弾くと仕様に合わない（以前のタスクで先送りにした内容）,
3,3.1.2 importモード（CSV一括インポート）（推奨）,"完了後（done=4）:
このdoneはsessionStorageで管理ということでしょうか？モック上の概念でしょうか？",
4,3.2 setup-* 新規登録ステップ画面（4種）,"「← 登録ガイドへ戻る」リンク
とありますがモックでは「←初期セットアップへ戻る」になっています。どちらが正しいでしょうか？",
5,,setup-* 実装する際のルーティングのことであっていますか？,
6,3.5 CTAモーダル（橋渡しモーダル）,モックとこちらの表の文言が異なっています。どちらに合わせればいいでしょうか？,
7,5.2 モード判定,b0LoadDoneはb0Doneのことであっていますか？,
8,5.3 順序ガード,『done + 1 以外なら警告バナー表示 + ボタン disabled』と『N <= done なら「再編集」モードで動作』は共存できなそうですがどうでしょう？,
9,6.UI/UX 違いの一覧 ,新規登録モードの時はタイムレコードの通常メニューは出さない、という認識で合っていますか？,
10,7.1 ルーティング,"運用モードのルーティングが/settings/xxx になっていますが、現状は/dashboard/business-types のようになっています
各画面のルーティングも修正する認識であっていますか",
11,7.2 モード判定ロジック,"「推奨: companies.onboarding_completed_atカラムを追加し、4項目すべてに1件以上の時刻を保存」
こちらは４件すべてが完了した場合に時刻を保存し、途中のstepはsessionStorageで管理（5.1 進捗状態（sessionStorage））という認識で合っていますか？",
12,7.6 招待メール送信（従業員登録）,モックの従業員一覧に「招待送信」ボタンが見当たりません,
13,9.1 2つのインポート導線,"「CSV一括インポート」を選択した場合、および運用後の再更新時、別リポジトリの タイムレコード インポート機能 へ別タブで遷移」
これはtimerecord本体ではなく、モックの中ではcsvインポート部分が別リポジトリという認識で合っていますか",
14,F. URLパラメータによる方式・ステップのスキップ（重要）,運用設定画面からの起点の場合も、運用画面のCSVインポート方式を選択モーダルで方式を選択済みなのでクエリパラメータありで/importに遷移したほうがいい気がする,
15,H-5. 本番実装で必要な対応,"「クエリパラメータ + ハッシュ対応: applyHashRouting() のロジックを本番にも実装」
クエリパラメータで管理しつつ、ハッシュも使用する理由があれば教えていただきたいです
（ここのクエリパラメータとはF. URLパラメータによる方式・ステップのスキップ（重要） の認識）",
16,,"「クエリパラメータ + ハッシュ対応: applyHashRouting() のロジックを本番にも実装」
applyHashRouting() のロジックとは何を指していますか？どこかに記載があれば教えていただきたいです。",
17,11.3 動作確認手順（エンジニア向け）,CSVで一括インポート（推奨）が選択済み の場合、３の動作にならない気がします（設定画面で一件ずつ登録が選択済みの場合の動作が記載されているように見える）,
18,16.3 ケース別の挙動(4パターン),それぞれのメールの本文は具体的にどうしましょう、後に決定されますでしょうか,
19,CTAボタン共通仕様:,こちらに記載されているCTAボタンとはどのボタンこのことでしょうか（それぞれの文言のボタンが見当たらない）,